industry,project,aiCategory,objective,baselineMetric,baselineValue,postAiValue,improvement,annualizedBenefit,annualizedCost,benefitDriver,linkedCostId,paybackPeriod,roi,npv,irr,strategicPillar,businessUnit,owner,status,validationSource,notes
Media,Sales Copilot,Computer Vision,Lower costs,Forecast Accuracy %,6.26,6.28,0.32,2304992.14,1242334.19,Faster TTM,C036,6,85.54,3830644.09,121.6,Revenue Growth,Marketing,Sourabh,Scaling,Billing,Synthetic sample data for ROI modeling
CPG,Redpulse Demand Intelligence,LLM,Reduce handling time,Out-of-Stock %,31.53,31.53,0,183644.89,1077547.97,Faster TTM,C018,70,-82.96,-3222320.55,149.61,Experience,Marketing,Shakira,On Hold,ERP,Synthetic sample data for ROI modeling
CPG,Redpulse Demand Intelligence,LLM,Reduce OOS,Out-of-Stock %,44.88,37.67,16.07,1042301.68,776828.3,Faster TTM,C107,9,34.17,956972.12,100.93,Risk,Supply Chain,Sourabh,Active,Billing,Synthetic sample data for ROI modeling
Energy,Integrity Token Accounting,RAG,Lower costs,Forecast Accuracy %,48.21,56.9,18.03,2079728.77,905441.68,Faster TTM,C004,5,129.69,4233042.16,66.16,Innovation,Sales,Wei Wei,Pipeline,Ops Logs,Synthetic sample data for ROI modeling
Logistics,Artemis AI Hunter,Automation,Improve CSAT,Fraud Rate %,37.94,48.3,-27.31,485938.34,382239.93,Revenue Uplift,C088,9,27.13,373809.56,113.75,Efficiency,AI Ops,Hanim,Active,Web Analytics,Synthetic sample data for ROI modeling
Telecom,Claims Auto-Adjudication,LLM,Reduce OOS,Out-of-Stock %,46.95,62.74,-33.63,2624812.24,1097918.1,Faster TTM,C095,5,139.07,5504111.66,134.4,Efficiency,HR,Vedant,Scaling,Ops Logs,Synthetic sample data for ROI modeling
Manufacturing,Redpulse Demand Intelligence,LLM,Reduce OOS,Out-of-Stock %,21.85,19.3,11.67,2327369.86,1029100.19,Cost Avoidance,C093,5,126.16,4679971.61,149.57,Innovation,Supply Chain,Jin,Pilot,Billing,Synthetic sample data for ROI modeling
Healthcare,WMS-Light Optimizer,LLM,Improve forecast,Forecast Accuracy %,42.88,49.41,15.23,1492559.08,539484.68,Cost Avoidance,C062,4,176.66,3435619.92,169.72,Risk,Data Science,Shakira,On Hold,Web Analytics,Synthetic sample data for ROI modeling
Manufacturing,Redpulse Demand Intelligence,LLM,Improve forecast,Conversion Rate,18.68,21.88,17.13,1071772.37,992558.77,Churn Reduction,C057,11,7.98,285547.3,140.84,Efficiency,HR,Vedant,On Hold,Billing,Synthetic sample data for ROI modeling
Telecom,Integrity Token Accounting,Automation,Improve CSAT,Out-of-Stock %,15.88,10.17,35.96,2720293.36,965968.25,Productivity,C029,4,181.61,6323949.41,33.14,Risk,Supply Chain,Sourabh,Pilot,CRM,Synthetic sample data for ROI modeling
