industry,systemName,functionName,model,version,region,usageType,metric,dailyAvg,monthlyTotal,unitCost,monthlyCost,linkedCostId,linkedRoiId,humanHours,autoResolution,errorRate,downtime,owner,department,notes
Energy,Artemis AI,Routing,Claude 3 Opus,v2.3,Tokyo,Realtime,Tokens,456875.15,12459756.67,0.00001,124.6,C017,R028,118.8,72.4,0.67,1.83,Wei Wei,AI Ops,Synthetic usage telemetry
Manufacturing,WMS-Light,Chat,Gemini 1.5 Pro,v1.1,Virginia,Training,Tokens,1379515.01,33339781.68,0.00001,333.4,C049,R016,89.8,66.1,0.62,3.48,Wei Wei,AI Ops,Synthetic usage telemetry
QSR,Claims Copilot,Summarize,Mixtral 8x7B,v3.4,Frankfurt,Inference,Images,16621.52,349868.74,0.03622,12672.25,C016,R037,22.7,45.8,0.78,1,Vedant,HR,Synthetic usage telemetry
Retail,Redpulse,Image-Understand,Claude 3.5 Sonnet,v1.0,Frankfurt,Realtime,Requests,13779.67,341827.31,0.01249,4269.42,C002,R086,18.8,46.1,2.05,2.47,Sourabh,HR,Synthetic usage telemetry
Insurance,EnterGrow,Forecast,Mixtral 8x7B,v1.7,Sydney,Batch,Images,1049.1,29513.05,0.04383,1293.56,C110,R038,60.8,77.2,1.55,0.58,Sourabh,AI Ops,Synthetic usage telemetry
Telecom,Artemis AI,Routing,Claude 3.5 Sonnet,v2.9,Sydney,Training,Runs,16308.54,355994.13,0.02064,7347.72,C059,R035,134.5,77.9,1.73,2.11,Jin,Data Science,Synthetic usage telemetry
Telecom,Integrity,RAG-Search,GPT-4.1,v2.9,Mumbai,Realtime,Requests,12245.9,340333.68,0.03096,10536.73,C111,R088,141.4,80,3.13,2.42,Hanim,Data Science,Synthetic usage telemetry
Manufacturing,Agent Runtime,Chat,GPT-4.1,v2.5,Singapore,Inference,GB-Hours,17469.21,440066.81,1.3827,608480.38,C080,R013,72.1,80,1.74,3.32,Wei Wei,Finance,Synthetic usage telemetry
Telecom,Integrity,Chat,Mixtral 8x7B,v1.8,Mumbai,Realtime,Requests,1543.56,38460.08,0.0128,492.29,C036,R007,83.6,70.3,1.39,4.09,Sourabh,Supply Chain,Synthetic usage telemetry
Logistics,Agent Runtime,Summarize,Claude 3 Opus,v2.5,Singapore,Realtime,GB-Hours,13084.79,275126.46,0.8364,230115.77,C072,R071,5,45,2.15,3.1,Vedant,HR,Synthetic usage telemetry
Healthcare,Sales Copilot,Token-Accounting,Claude 3.5 Sonnet,v2.0,Tokyo,Realtime,Runs,11225.01,294068.09,0.02418,7110.57,C085,R047,116,46.3,2.68,1.11,Vedant,Risk & Fraud,Synthetic usage telemetry
Energy,WMS-Light,Routing,Mixtral 8x7B,v1.0,Tokyo,Realtime,Requests,16445.68,451024.56,0.02105,9494.07,C033,R079,35.4,46.6,3,1.08,Jin,Risk & Fraud,Synthetic usage telemetry
Insurance,Claims Copilot,Chat,Mixtral 8x7B,v3.9,Singapore,Realtime,Images,13186.21,389809.46,0.0076,2962.55,C064,R001,87.2,42.7,3.28,4.19,Hanim,HR,Synthetic usage telemetry
